page_name,pid,description,keywords,thumbnail,full
,p0001,front cover,,/img/derivatives/simple/p0001/thumbnail.jpg,/img/derivatives/simple/p0001/full.jpg
,p0002,inside cover,,/img/derivatives/simple/p0002/thumbnail.jpg,/img/derivatives/simple/p0002/full.jpg
,p0003,blank page recto,,/img/derivatives/simple/p0003/thumbnail.jpg,/img/derivatives/simple/p0003/full.jpg
,p0004,blank page verso,,/img/derivatives/simple/p0004/thumbnail.jpg,/img/derivatives/simple/p0004/full.jpg
sc-first_pages_i,p0005,book title page,,/img/derivatives/simple/p0005/thumbnail.jpg,/img/derivatives/simple/p0005/full.jpg
,p0006,blank page verso,,/img/derivatives/simple/p0006/thumbnail.jpg,/img/derivatives/simple/p0006/full.jpg
,p0007,blank page recto,,/img/derivatives/simple/p0007/thumbnail.jpg,/img/derivatives/simple/p0007/full.jpg
sc-first_pages_ii,p0008,frontispiece,,/img/derivatives/simple/p0008/thumbnail.jpg,/img/derivatives/simple/p0008/full.jpg
sc-first_pages_iii,p0009,title page,,/img/derivatives/simple/p0009/thumbnail.jpg,/img/derivatives/simple/p0009/full.jpg
sc-first_pages_iv,p0010,blank page verso,,/img/derivatives/simple/p0010/thumbnail.jpg,/img/derivatives/simple/p0010/full.jpg
sc-first_pages_v,p0011,preface,,/img/derivatives/simple/p0011/thumbnail.jpg,/img/derivatives/simple/p0011/full.jpg
sc-first_pages_vi,p0012,page vi,,/img/derivatives/simple/p0012/thumbnail.jpg,/img/derivatives/simple/p0012/full.jpg
sc-first_pages_vii,p0013,page vii,,/img/derivatives/simple/p0013/thumbnail.jpg,/img/derivatives/simple/p0013/full.jpg
sc-first_pages_viii,p0014,blank page verso,,/img/derivatives/simple/p0014/thumbnail.jpg,/img/derivatives/simple/p0014/full.jpg
sc-page001,p0015,book i title page,,/img/derivatives/simple/p0015/thumbnail.jpg,/img/derivatives/simple/p0015/full.jpg
sc-page002,p0016,argument to book i,,/img/derivatives/simple/p0016/thumbnail.jpg,/img/derivatives/simple/p0016/full.jpg
sc-page003,p0017,page 3,,/img/derivatives/simple/p0017/thumbnail.jpg,/img/derivatives/simple/p0017/full.jpg
sc-page004,p0018,page 4,,/img/derivatives/simple/p0018/thumbnail.jpg,/img/derivatives/simple/p0018/full.jpg
sc-page005,p0019,page 5,,/img/derivatives/simple/p0019/thumbnail.jpg,/img/derivatives/simple/p0019/full.jpg
sc-page006,p0020,page 6,,/img/derivatives/simple/p0020/thumbnail.jpg,/img/derivatives/simple/p0020/full.jpg
sc-page007,p0021,page 7,,/img/derivatives/simple/p0021/thumbnail.jpg,/img/derivatives/simple/p0021/full.jpg
sc-page008,p0022,page 8,,/img/derivatives/simple/p0022/thumbnail.jpg,/img/derivatives/simple/p0022/full.jpg
sc-page009,p0023,page 9,,/img/derivatives/simple/p0023/thumbnail.jpg,/img/derivatives/simple/p0023/full.jpg
sc-page010,p0024,page 10,,/img/derivatives/simple/p0024/thumbnail.jpg,/img/derivatives/simple/p0024/full.jpg
sc-page011,p0025,page 11,,/img/derivatives/simple/p0025/thumbnail.jpg,/img/derivatives/simple/p0025/full.jpg
sc-page012,p0026,page 12,,/img/derivatives/simple/p0026/thumbnail.jpg,/img/derivatives/simple/p0026/full.jpg
